Date,In-game Date,Activity,Season,Weather,Luck,Time Spent (in minutes),Gold on Hand,Primary Activity Gold,Non-Activity Gold,Expenses,Net Activity Income,Pickaxe,Axe,Sword,Hoe,Scythe,Pan,Rod,Tackle,Farming Lvl.,Fishing Lvl.,Mining Lvl.,Foraging Lvl.,Fighting Lvl.
1/14/26,"Day 1, Year 1",Mining,Spring,Sunny,Very Happy,0:00:00,500,0,0,0,0,Base,Base,Rusty,Base,Base,None,None,None,0,0,0,0,0
1/14/26,"Day 2, Year 1",Mining,Spring,Sunny,Very Displeased,0:00:00,500,0,0,0,0,Base,Base,Rusty,Base,Base,None,None,None,0,0,0,0,0
1/14/26,"Day 3, Year 1",Mining,Spring,Rainy,Neutral,0:00:00,500,0,0,0,0,Base,Base,Rusty,Base,Base,None,None,None,0,0,0,0,0
1/14/26,"Day 4, Year 1",Mining,Spring,Sunny,Neutral,0:00:00,500,0,0,0,0,Base,Base,Rusty,Base,Base,None,None,None,0,0,0,0,0
1/14/26,"Day 5, Year 1",Mining,Spring,Sunny,Neutral,5:50:00,500,0,100,0,0,Base,Base,Rusty,Base,Base,None,None,None,1,0,1,0,0
1/14/26,"Day 6, Year 1",Mining,Spring,Cloudy,Good Humor,0:00:00,600,25,0,0,25,Base,Base,Rusty,Base,Base,None,None,None,1,0,1,0,0
1/14/26,"Day 7, Year 1",Mining,Spring,Sunny,Neutral,8:50:00,625,330,0,0,330,Base,Base,Rusty,Base,Base,None,None,None,1,0,1,0,0
1/14/26,"Day 8, Year 1",Mining,Spring,Sunny,Good Humor,9:00:00,955,350,0,0,350,Base,Base,Rusty,Base,Base,None,None,None,1,0,2,0,1
1/14/26,"Day 9, Year 1",Mining,Spring,Sunny,Neutral,6:00:00,"1,305.00",150,0,0,150,Base,Base,Rusty,Base,Base,None,None,None,1,0,2,0,1
1/14/26,"Day 10, Year 1",Mining,Spring,Cloudy,Very Displeased,5:10:00,"1,455.00",520,0,0,520,Base,Base,Rusty,Base,Base,None,None,None,1,0,2,0,1
1/14/26,"Day 11, Year 1",Mining,Spring,Sunny,Neutral,4:50:00,"1,975.00",300,0,0,300,Base,Base,Rusty,Base,Base,None,None,None,1,0,2,0,1
1/14/26,"Day 12, Year 1",Mining,Spring,Cloudy,Neutral,6:00:00,"2,275.00",665,0,0,665,Base,Base,Rusty,Base,Base,None,None,None,1,0,3,0,1
1/14/26,"Day 13, Year 1",Mining,Spring,Sunny,Annoyed/Mildly Perturbed,0:00:00,"2,940.00",240,0,0,240,Base,Base,Rusty,Base,Base,None,None,None,1,0,3,0,1
1/14/26,"Day 14, Year 1",Mining,Spring,Sunny,Neutral,4:40:00,"3,180.00",662,0,0,662,Base,Base,Rusty,Base,Base,None,None,None,1,0,3,0,1
1/14/26,"Day 15, Year 1",Mining,Spring,Sunny,Neutral,0:00:00,"3,842.00",0,0,"2,000.00","-2,000.00",Base,Base,Rusty,Base,Base,None,None,None,1,0,3,0,1
1/14/26,"Day 16, Year 1",Mining,Spring,Cloudy,Annoyed/Mildly Perturbed,0:00:00,"1,842.00",0,0,0,0,Base,Base,Rusty,Base,Base,None,None,None,1,0,3,0,1
1/14/26,"Day 17, Year 1",Mining,Spring,Rainy,Good Humor,6:00:00,"1,842.00",260,0,0,260,Copper,Base,Rusty,Base,Base,None,None,None,1,0,3,0,1
1/14/26,"Day 18, Year 1",Mining,Spring,Sunny,Very Displeased,4:00:00,"2,102.00",200,0,0,200,Copper,Base,Rusty,Base,Base,None,None,None,1,0,3,0,1
1/14/26,"Day 19, Year 1",Mining,Spring,Sunny,Annoyed/Mildly Perturbed,6:00:00,"2,302.00",0,549,0,0,Copper,Base,Rusty,Base,Base,None,None,None,1,0,4,1,2
1/14/26,"Day 20, Year 1",Mining,Spring,Cloudy,Annoyed/Mildly Perturbed,8:00:00,"2,851.00",965,0,950,15,Copper,Base,Rusty,Base,Base,None,None,None,1,0,4,1,2
